project,num_forks,num_files,project_age,num_stars,ratio_old_volunteers,fork_entropy,num_integrated_commits,num_forks_rq2,num_files_rq2,ratio_old_volunteers_rq2,ratio_prs_with_tests,ratio_prs_with_hot_files,fork_entropy_rq2,num_closed_prs,ratio_merged_prs,num_bug_report_issues
AFNetworking/AFNetworking,31,174,1796,25227,0,0.509419444,6,10,26,0,0.3,0.9,0.606660139,8,0.25,5
AFNetworking/AFNetworking,21,133,1827,25959,0,0.607811021,2,4,5,0,0,1,0.603966929,4,0.5,10
AFNetworking/AFNetworking,13,93,1857,26555,0,0.816356485,2,4,6,0,0.25,0.75,0.726390497,3,1,4
AFNetworking/AFNetworking,17,62,1888,27026,0,0.597785622,3,5,89,0,0.6,1,0.694485946,3,0.666666667,3
AFNetworking/AFNetworking,16,39,1919,27484,0.5,0.680965927,10,5,8,0.333333333,0.333333333,1,0.675844506,6,0.333333333,2
AFNetworking/AFNetworking,15,142,1949,27878,0,0.75018557,15,5,63,0,0.625,0.625,0.792941429,6,0.666666667,4
AFNetworking/AFNetworking,10,136,2010,28618,0,0.271851914,0,3,4,0,0,1,0.651649446,1,0,6
AFNetworking/AFNetworking,10,126,2100,29520,0,0.433456561,0,4,3,0,0,1,0.627243246,1,0,8
AFNetworking/AFNetworking,18,39,2131,29905,0,0.513523825,2,9,23,0,0.416666667,0.25,0.687312532,10,0.1,3
AFNetworking/AFNetworking,16,38,2161,30320,0,0.687282521,1,5,4,0,0.2,0.6,0.708343024,2,0.5,4
AFNetworking/AFNetworking,12,27,2192,30571,0,0.700973409,1,2,2,0,0,0.5,0.458957501,1,1,3
AFNetworking/AFNetworking,19,33,2222,30831,0,0.820877297,12,4,12,0,0.5,0.75,0.736976307,3,0.666666667,1
AFNetworking/AFNetworking,15,83,2284,31351,0.055555556,0.624185464,2,5,9,0,0.142857143,0.142857143,0.780267635,5,0.4,3
AFNetworking/AFNetworking,5,15,2314,31599,0,0.727201196,4,2,3,0,0.5,0,0.499363683,2,1,2
AFNetworking/AFNetworking,12,34,2345,31775,0,0.825099332,1,2,2,0,0,1,0.484901308,1,0,1
AFNetworking/AFNetworking,10,18,2406,32183,0,0.698417135,3,3,8,0,0.333333333,0.666666667,0.628048685,3,0.666666667,2
AFNetworking/AFNetworking,11,19,2437,32395,0,0.73279687,2,4,4,0,0,0.5,0.616420059,4,0,1
AFNetworking/AFNetworking,15,39,2465,32529,0,0.602088159,0,4,8,0,0.5,0.75,0.636385941,3,0,6
AFNetworking/AFNetworking,8,11,2557,33131,0,0.690783809,9,2,5,0,0.5,1,0.5,1,1,4
AFNetworking/AFNetworking,12,88,2587,33293,0,0.711987021,11,5,68,0,0.333333333,0.333333333,0.782512392,4,1,1
AFNetworking/AFNetworking,10,16,2649,33607,0,0.747855002,6,4,4,0,0,1,0.711707966,4,0.25,1
AFNetworking/AFNetworking,2,9,2740,34051,0,0.499999998,1,2,20,0,0.5,1,0.5,1,1,3
angular/angular.js,4,51,267,4542,0.363636364,0.74936846,0,4,79,0.230769231,0.807692308,0.346153846,0.749876138,26,0.346153846,3
angular/angular.js,5,33,298,4904,0.384615385,0.79981091,0,5,56,0.526315789,0.789473684,0.947368421,0.799657176,19,0.105263158,16
angular/angular.js,3,61,328,5258,1,0.666663993,2,3,48,1,1,1,0.666666667,9,0.111111111,3
angular/angular.js,3,47,359,5567,0.9375,0.666658657,1,3,119,0.944444444,0.833333333,0.888888889,0.666666667,18,0.166666667,8
angular/angular.js,5,57,390,5952,0.814814815,0.735956687,0,5,87,0.842105263,0.684210526,0.842105263,0.772638621,19,0.210526316,6
angular/angular.js,5,74,418,6315,0.888888889,0.71853773,0,5,42,0.7,0.8,0.9,0.624833022,10,0.3,2
angular/angular.js,5,40,449,6826,0.714285714,0.503445995,0,5,62,0.2,0.4,1,0.446597454,5,0.2,3
angular/angular.js,3,71,479,7250,0.533333333,0.666666667,0,2,92,0,1,1,0.5,4,0.25,6
angular/angular.js,2,10,510,7643,0,0.499999954,0,4,62,0.076923077,0.538461538,0.769230769,0.747285343,13,0.538461538,8
angular/angular.js,3,33,540,8124,0,0.646989954,0,4,55,0.625,0.625,1,0.720789927,8,0.125,4
angular/angular.js,4,11,571,8546,0,0.749967927,1,4,58,0.615384615,0.615384615,0.923076923,0.749706812,13,0.307692308,0
angular/angular.js,4,260,602,8939,0,0.649220095,3,4,259,0,0.571428571,0.857142857,0.68440199,7,0,0
